Part	Value	Package

A500_KB		PINHEAD-1X8
AUDIO	JACK	JACK-S
C1	100nF	0603
C2	100nF	0603
C3	100nF	0603
C4	100nF	0603
C5	100nF	0603
C6	100nF	0603
C7	100nF	0603
C8	10uF	0805
C9	100nF	0603
C10	100nF	0603
C11	100nF	0603
C12	100nF	0603
C13	10uF	0603
C14	100nF	0603
C15	100nF	0603
C16	10nF	0603
C17	10nF	0603
C18	10nF	0603
C19	10nF	0603
C20	100nF	0603
C21	10uF	0805
C22	10uF	0805
C23	10uF	1206
C24	10uF	1206
C25	10uF	CT3216
C26	100nF	0603
C27	100nF	0603
C28	100nF	0603
C29	100nF	0603
C30	10uF	CT3216
C31	100nF	0603
C32	100nF	0603
C33	100nF	0603
C34	100nF	0603
C35	10uF	0805
C36	100nF	0603
C37	100nF	0603
C38	10uF	0603
C39	100nF	0603
C40	100nF	0603
C41	100nF	0603
C42	100nF	0603
C43	100nF	0603
C44	100nF	0603
C45	100nF	0603
C46	100nF	0603
C47	100nF	0603
C48	100nF	0603
C49	100nF	0603
C50	100nF	0603
C51	10uF	0805
C52	100nF	0603
C53	10uF	0805
C54	100nF	0603
C55	1uF	0603
C56	100nF	0603
C57	100nF	0603
C58	100nF	0603
C59	10nF	0603
C60	100nF	0603
D1	1N4148	D0603
D2	1N4148	D0603
E1	PUSB3FR4Z	ESD2
E2	PUSB3FR4Z	ESD2
F1	0.75A	0805
F2	ferrite bead	0603
F3	0.75A	0603
FLOPPY		2X17
H1		3,2-PAD
H2		3,2-PAD
H3		3,2-PAD
H4		3,2-PAD
IC1	XC6SLX9-2TQG144	TQFP144
IC2	74LVC245	TSSOP20
IC3	74LVC245	TSSOP20
IC4	3.3V	SOT223
IC5	MAX3232CSE	SO16
IC6	16MHz_GENERATOR_3.3V_3.2x2.5mm	GENERATOR-SMD-3.2X2.5
IC7	AS4C4M16SA-5TCN	TSOP54
IC8	W25Q128JVSIQ	SPI_FLASH
IC9	74HCT2G125	DCU-8
IC10	1.2V	SOT223
JOY1	DB9M	DB9M
JOY2	DB9M	DB9M
JTAG		PH20-1X6
KEYBOARD	MINI-DIN6	MINI-DIN6
LED1		SML0805
LED2		SML0805
MOUSE	MINI-DIN6	MINI-DIN6
R1	10k	0603
R2	10k	0603
R3	10k	0603
R4	10k	0603
R5	10k	0603
R6		0603
R7		0603
R8	1k	0603
R9		0603
R10	4k7	0603
R11		0603
R13		0603
R14		0603
R15	3k3	0603
R16	3k3	0603
R17	3k3	0603
R18	3k3	0603
R19		0603
R20		0603
R21		0603
R22		0603
R23		0603
R24		0603
R25		0603
R26	3k3	0603
R27	560	0603
R28		0603
R29	560	0603
R30	560	0603
R31	560	0603
R32	100	0603
R33	10k	0603
R34	10k	0603
R35	10k	0603
R36	3k3	0603
R37	3k3	0603
R38	3k3	0603
R39	3k3	0603
R40	3k3	0603
R41	3k3	0603
R42	3k3	0603
R43	3k3	0603
R44	3k3	0603
R45	3k3	0603
R46	3k3	0603
R47	3k3	0603
R48	3k3	0603
R49	10k	0603
R50	10k	0603
R51	1k	0603
R52	1k	0603
R53	100	0603
R54	100	0603
R55	10k	0603
R56	10k	0603
R57	4k7	0603
R58	10k	0603
R59	10k	0603
R60	10k	0603
R61	10k	0603
R62	10k	0603
R63	10k	0603
R64	560	0603
R65	10k	0603
R66	10k	0603
RP1	10k	0603-ARC
RP2	10k	0603-ARC
RP3	10k	0603-ARC
RP4	10k	0603-ARC
RS232	DB9M	DB9M
S1		B3F-31XX
S2		B3F-31XX
SD_CARD	SD	SD-SHORT
T1	BSS123	SOT23_
T2	BSS123	SOT23_
T3	BSS123	SOT23_
T4	BSS123	SOT23_
T5	BSS123	SOT23_
T6	BSS123	SOT23_
T7	BSS123	SOT23_
T8	BSS123	SOT23_
T9	BSS123	SOT23_
T10	BSS123	SOT23_
T11	BSS123	SOT23_
T12	BSS123	SOT23_
T13	BSS123	SOT23_
T14	BSS123	SOT23_
T15	BSS123	SOT23_
T16	BSS123	SOT23_
T17	BSS123	SOT23_
T18	BSS123	SOT23_
T19	BSS123	SOT23_
T20	BC847	SOT23_
USB-C		USB-C-PWR
VIDEO		HDMI
Z1		PINHEAD-1X2B
Z2		PINHEAD-1X4B
Z3		PINHEAD-1X4
Z4		PINHEAD-1X4
